bug_id,"product","component","assigned_to","bug_status","resolution","opendate","changeddate"
203789,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2019-11-02 12:32:17","2020-02-13 17:31:59"
203947,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-11-07 05:00:02","2020-02-06 07:17:08"
204004,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2019-11-08 09:21:18","2020-02-13 17:31:43"
204005,"WebKit","SVG","webkit-unassigned","NEW"," ---","2019-11-08 09:25:22","2020-02-13 17:31:25"
204022,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2019-11-08 14:20:56","2020-02-13 17:31:14"
204557,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2019-11-24 08:09:06","2020-02-19 00:18:42"
205350,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-12-17 12:33:22","2020-02-13 20:35:07"
205381,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-12-18 00:31:51","2020-02-24 01:27:02"
205454,"WebKit","Animations","webkit-unassigned","NEW"," ---","2019-12-19 08:45:21","2020-02-20 13:02:06"
205626,"WebKit","Web Inspector","webkit-unassigned","NEW"," ---","2019-12-28 23:09:15","2020-02-19 22:48:59"
205662,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2019-12-31 14:18:18","2020-02-04 17:22:39"
205663,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2019-12-31 14:28:24","2020-02-04 15:27:26"
205664,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2019-12-31 14:30:47","2020-02-04 15:45:27"
205666,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2019-12-31 14:45:34","2020-02-07 13:50:22"
205717,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2020-01-03 05:17:18","2020-02-19 00:18:53"
205718,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2020-01-03 05:22:06","2020-02-19 01:32:45"
205719,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2020-01-03 05:38:58","2020-02-20 00:33:29"
205720,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2020-01-03 05:42:47","2020-02-19 03:28:22"
205733,"WebKit","CSS","webkit-unassigned","NEW"," ---","2020-01-03 10:24:31","2020-02-10 16:49:30"
205736,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2020-01-03 11:07:17","2020-02-04 15:49:45"
205738,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2020-01-03 11:12:56","2020-02-04 15:58:00"
205839,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2020-01-06 15:41:17","2020-02-07 12:46:21"
206350,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2020-01-16 05:20:26","2020-02-07 07:23:30"
206439,"WebKit","Platform","webkit-unassigned","NEW"," ---","2020-01-17 13:24:30","2020-02-25 01:30:49"
206498,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2020-01-20 06:14:14","2020-02-05 02:12:36"
206521,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2020-01-21 02:18:44","2020-02-19 01:43:33"
206556,"WebKit","DOM","webkit-unassigned","NEW"," ---","2020-01-21 14:27:32","2020-02-21 03:51:36"
206579,"WebKit","CSS","webkit-unassigned","NEW"," ---","2020-01-22 04:39:19","2020-02-22 17:25:45"
206586,"WebKit","Service Workers","webkit-unassigned","NEW"," ---","2020-01-22 08:41:31","2020-02-11 08:33:48"
